"ElementsTableOfContentsItem href","sl-flex-1","sl-font-medium"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/6ac3e1f1fceb8-delete-an-individual-people-group","Delete an Individual People Group","delete"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/4k3hos0s0wbu4-practice-areas","Practice Areas",""
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/50347627537d0-get-practice-areas","Get Practice Areas","get"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/3c5e2907ae80c-create-a-practice-area","Create a Practice Area","post"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/1ccbfe3936ae7-update-an-individual-practice-area","Update an Individual Practice Area","put"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/92a35db62ccae-delete-an-individual-practice-area","Delete an Individual Practice Area","delete"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/xk6gyvkvnoigj-referral-sources","Referral Sources",""
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/f44c1f64d9aaa-get-referral-sources","Get Referral Sources","get"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/fbbd7659d2c38-create-a-referral-source","Create a Referral Source","post"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/8tcl50enttets-staff","Staff",""
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/f7c58137e7e12-get-all-staff","Get all Staff","get"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/9bd431a3d3e15-get-an-individual-staff","Get an Individual Staff","get"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/1bf6e3346734c-get-the-current-authorized-user","Get the Current Authorized User","get"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/tj17y5rz7vsh0-tasks","Tasks",""
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/ddd858825338c-get-tasks","Get Tasks","get"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/279c5f98870af-create-a-task","Create a Task","post"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/6fa470840f2fc-update-an-individual-task","Update an Individual Task","put"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/04651f1110756-delete-an-individual-task","Delete an Individual Task","delete"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/51a0b7c924d90-create-a-staff-relationship-for-a-task","Create a Staff Relationship for a Task","post"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/ka53k6vbua0t3-time-entries","Time Entries",""
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/444b13b5dcacc-get-time-entries","Get Time Entries","get"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/45d79e837bc9e-create-a-time-entry","Create a Time Entry","post"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/31724310a6d8c-get-an-individual-time-entry","Get an Individual Time Entry","get"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/099c33c11c243-delete-an-individual-time-entry","Delete an Individual Time Entry","delete"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/fdtu5r8u47pku-webhooks","Webhooks",""
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/782791dbe8a99-get-webhook-subscriptions","Get Webhook Subscriptions","get"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/1553cc102843e-create-a-webhook-subscription","Create a Webhook Subscription","post"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/530b282cd2690-cancel-a-webhook-subscription","Cancel a Webhook Subscription","delete"
